ID;MesSiniestro;Marca;Zona;Sexo;EstadoCivil;Edad;Categoria;CostoVehiculo;TipoConductor;Modelo;Testigo;Anio;Pago;Cerrado
11355;Abr;Chevrolet;Urbana;Hombre;Casado;57;Deportivo;Medio;4;5mas;No;2024;628.21;1
11356;Feb;Toyota;Rural;Hombre;Soltero;40;Sedan;Alto;4;5mas;No;2024;336.59;1
11357;Feb;Toyota;Rural;Mujer;Casado;38;Deportivo;Bajo;1;5mas;No;2024;176.69;1
11358;Dic;Chevrolet;Urbana;Mujer;Soltero;35;Sedan;Bajo;4;5mas;No;2024;200.92;0
11359;Dic;Nisson;Urbana;Hombre;Casado;52;Sedan;Medio;3;5mas;No;2024;114.98;1
11360;Abr;Honda;Urbana;Hombre;Casado;41;Deportivo;Bajo;3;5mas;No;2024;340.03;1
11361;Dic;Honda;Urbana;Hombre;Soltero;33;Deportivo;Medio;1;5mas;No;2024;10.64;1
11362;Nov;Chevrolet;Urbana;Hombre;Casado;63;Deportivo;Alto;1;5mas;No;2024;86.61;1
11363;Abr;Chevrolet;Urbana;Hombre;Casado;64;Deportivo;Bajo;2;5mas;No;2024;257.96;1
11364;Oct;Mazda;Urbana;Hombre;Casado;36;Sedan;Medio;3;5mas;No;2024;109.99;1
11365;Oct;Pontiac;Urbana;Hombre;Soltero;23;Sedan;Bajo;2;2y;No;2024;226.88;0
11366;Jun;Toyota;Urbana;Hombre;Casado;57;Sedan;Bajo;1;5mas;No;2024;63.13;1
11367;Jun;Pontiac;Urbana;Hombre;Casado;44;Deportivo;Bajo;4;5mas;No;2024;61.13;1
11368;May;Pontiac;Urbana;Hombre;Casado;72;Sedan;Bajo;4;5mas;No;2024;73.35;1
11369;Abr;Honda;Urbana;Mujer;Soltero;35;Sedan;Alto;4;0y;No;2024;204.44;1
11370;May;Accura;Rural;Hombre;Casado;39;Sedan;Medio;1;5mas;No;2024;131.52;1
11371;Abr;Mazda;Urbana;Hombre;Casado;52;Sedan;Bajo;2;5mas;No;2024;194.46;1
11372;Abr;Pontiac;Urbana;Hombre;Casado;36;Sedan;Bajo;1;5mas;No;2024;139.90;0
11373;Mar;Toyota;Urbana;Mujer;Soltero;33;Sedan;Bajo;1;5mas;No;2024;6.69;0
11374;Mar;Honda;Urbana;Hombre;Casado;41;Deportivo;Alto;1;5mas;No;2024;39.92;1
11375;Ene;Pontiac;Urbana;Mujer;Soltero;40;Sedan;Bajo;1;5mas;No;2024;118.37;1
11376;Sep;Honda;Urbana;Hombre;Casado;46;Sedan;Bajo;3;5mas;No;2024;83.20;0
11377;Abr;Mazda;Urbana;Hombre;Casado;51;Sedan;Bajo;1;5mas;No;2024;193.04;1
11378;Ago;Toyota;Urbana;Mujer;Casado;27;Deportivo;Alto;4;5mas;No;2024;45.99;1
11379;Ago;Chevrolet;Urbana;Hombre;Casado;46;Deportivo;Medio;3;5mas;No;2024;138.21;0
11380;Ago;Dodge;Urbana;Hombre;Soltero;30;Deportivo;Medio;3;5mas;No;2024;81.29;0
11381;Mar;Toyota;Urbana;Hombre;Casado;45;Sedan;Bajo;2;5mas;No;2024;36.18;1
11382;Mar;Pontiac;Urbana;Hombre;Soltero;31;Sedan;Medio;3;5mas;No;2024;27.07;1
11383;Abr;Toyota;Urbana;Hombre;Casado;68;Deportivo;Bajo;3;5mas;No;2024;143.16;1
11384;May;Honda;Urbana;Hombre;Casado;39;Sedan;Bajo;3;5mas;No;2024;138.77;0
11385;May;Toyota;Rural;Hombre;Soltero;28;Sedan;Bajo;1;5mas;No;2024;112.76;0
11386;Jul;Honda;Urbana;Hombre;Soltero;43;Deportivo;Bajo;1;5mas;No;2024;243.34;1
11387;Jul;Mazda;Urbana;Mujer;Casado;31;Sedan;Bajo;4;5mas;No;2024;243.61;1
11388;Sep;Mazda;Urbana;Hombre;Soltero;29;Deportivo;Alto;3;5mas;No;2024;9.43;1
11389;Oct;VW;Urbana;Hombre;Casado;40;Deportivo;Alto;3;5mas;No;2024;194.18;1
11390;Oct;Toyota;Urbana;Hombre;Soltero;24;Sedan;Bajo;3;4y;No;2024;683.58;1
11391;Nov;Chevrolet;Urbana;Hombre;Casado;35;Sedan;Bajo;2;5mas;No;2024;162.05;1
11392;Mar;Toyota;Urbana;Hombre;Casado;47;Sedan;Bajo;1;5mas;No;2024;276.18;0
11393;Abr;Pontiac;Urbana;Hombre;Soltero;35;Sedan;Medio;2;5mas;No;2024;26.06;1
11394;Abr;Mazda;Urbana;Hombre;Soltero;26;Deportivo;Bajo;1;5mas;No;2024;61.21;1
11395;Abr;Chevrolet;Urbana;Hombre;Soltero;18;Sedan;Alto;1;3y;No;2024;87.22;1
11396;Abr;Toyota;Urbana;Mujer;Casado;35;Sedan;Bajo;1;5mas;No;2024;28.29;1
11397;Jul;Toyota;Urbana;Mujer;Casado;34;Deportivo;Alto;1;5mas;No;2024;239.21;0
11398;Ago;Nisson;Urbana;Hombre;Casado;54;Sedan;Medio;2;5mas;No;2024;92.52;1
11399;Ago;Ford;Urbana;Hombre;Casado;37;Sedan;Medio;3;5mas;No;2024;49.89;1
11400;Oct;Chevrolet;Rural;Hombre;Casado;32;Sedan;Bajo;1;5mas;No;2024;120.64;0
11401;Nov;Pontiac;Urbana;Hombre;Casado;43;Sedan;Bajo;3;5mas;No;2024;118.11;0
11402;Dic;Honda;Urbana;Hombre;Casado;36;Sedan;Medio;1;5mas;No;2024;300.60;1
11403;Dic;Honda;Urbana;Mujer;Casado;48;Deportivo;Medio;2;5mas;No;2024;259.83;0
11404;Dic;Mazda;Urbana;Mujer;Casado;33;Sedan;Bajo;1;5mas;No;2024;4.27;1
11405;Dic;Chevrolet;Urbana;Hombre;Casado;40;Deportivo;Bajo;2;5mas;No;2024;111.25;0
11406;Dic;Honda;Urbana;Hombre;Casado;69;Sedan;Bajo;2;5mas;No;2024;171.36;1
11407;Nov;Toyota;Urbana;Hombre;Casado;46;Sedan;Medio;3;5mas;No;2024;53.85;0
11408;Oct;Mazda;Rural;Hombre;Casado;43;Sedan;Medio;4;5mas;No;2024;503.34;1
11409;Ago;Honda;Urbana;Mujer;Otro;46;Sedan;Bajo;2;5mas;No;2024;11.03;0
11410;Jul;Pontiac;Urbana;Hombre;Casado;50;Sedan;Medio;3;5mas;No;2024;244.42;1
11411;Abr;Pontiac;Urbana;Mujer;Casado;51;Sedan;Medio;3;5mas;No;2024;137.85;1
11412;Abr;Toyota;Urbana;Hombre;Casado;63;Deportivo;Medio;3;5mas;No;2024;239.19;1
11413;Abr;Pontiac;Rural;Hombre;Casado;44;Sedan;Medio;1;5mas;No;2024;200.39;1
11414;Abr;Ford;Urbana;Hombre;Casado;77;Sedan;Bajo;3;5mas;No;2024;263.21;1
11415;Abr;Pontiac;Urbana;Hombre;Casado;36;Sedan;Bajo;4;5mas;No;2024;170.65;1
11416;Dic;Pontiac;Urbana;Hombre;Casado;57;Sedan;Bajo;4;5mas;No;2024;74.94;1
11417;Dic;Mazda;Urbana;Hombre;Soltero;29;Deportivo;Bajo;1;5mas;No;2024;42.39;1
11418;Dic;Honda;Urbana;Hombre;Casado;31;Sedan;Alto;1;5mas;No;2024;389.07;1
11419;Nov;Pontiac;Urbana;Mujer;Soltero;34;Sedan;Alto;3;5mas;No;2024;248.01;1
11420;Nov;Honda;Urbana;Hombre;Casado;29;Deportivo;Alto;1;5mas;No;2024;221.77;1
11421;Nov;Toyota;Urbana;Hombre;Casado;31;Deportivo;Bajo;1;5mas;No;2024;352.98;1
11422;Oct;Toyota;Urbana;Hombre;Casado;64;Sedan;Bajo;4;5mas;No;2024;152.92;1
11423;Oct;Pontiac;Urbana;Hombre;Casado;26;Deportivo;Bajo;2;5mas;No;2024;317.11;0
11424;Sep;Pontiac;Rural;Hombre;Soltero;49;Carga;Alto;2;5mas;No;2024;26.77;1
11425;Sep;Mazda;Rural;Mujer;Soltero;36;Deportivo;Bajo;2;5mas;No;2024;308.33;0
11426;Sep;Pontiac;Urbana;Hombre;Soltero;56;Sedan;Bajo;2;5mas;No;2024;9.03;0
11427;Ago;Honda;Urbana;Hombre;Casado;38;Sedan;Medio;1;5mas;No;2024;184.32;0
11428;Ago;Chevrolet;Urbana;Hombre;Casado;61;Sedan;Bajo;2;5mas;No;2024;200.65;0
11429;Jul;Pontiac;Urbana;Hombre;Casado;44;Deportivo;Bajo;4;5mas;No;2024;41.60;1
11430;Jun;Chevrolet;Urbana;Hombre;Casado;39;Sedan;Bajo;2;5mas;No;2024;154.27;1
11431;Jun;Toyota;Rural;Hombre;Casado;48;Sedan;Bajo;2;5mas;No;2024;216.56;1
11432;May;Accura;Urbana;Hombre;Casado;49;Sedan;Medio;3;5mas;No;2024;63.59;1
11433;May;Pontiac;Urbana;Hombre;Casado;34;Sedan;Medio;1;5mas;No;2024;266.51;1
11434;Abr;Mazda;Urbana;Hombre;Casado;46;Sedan;Bajo;1;5mas;No;2024;79.22;1
11435;Abr;Mazda;Rural;Hombre;Casado;60;Deportivo;Bajo;2;5mas;No;2024;2.92;0
11436;Abr;Mazda;Rural;Hombre;Soltero;30;Deportivo;Alto;2;5mas;No;2024;14.55;0
11437;Mar;Mazda;Urbana;Hombre;Casado;43;Sedan;Alto;2;5mas;No;2024;167.03;1
11438;Sep;Mazda;Urbana;Hombre;Casado;49;Sedan;Bajo;3;5mas;No;2024;245.52;1
11439;Sep;Ford;Urbana;Hombre;Casado;44;Sedan;Bajo;2;5mas;No;2024;36.21;0
11440;Sep;Pontiac;Urbana;Mujer;Casado;31;Deportivo;Bajo;4;5mas;No;2024;119.48;1
11441;Ene;Honda;Urbana;Hombre;Casado;32;Sedan;Medio;2;5mas;No;2024;121.69;0
11442;Mar;Pontiac;Urbana;Hombre;Casado;55;Deportivo;Bajo;1;5mas;No;2024;64.22;1
11443;May;Pontiac;Rural;Hombre;Casado;44;Deportivo;Medio;4;5mas;No;2024;56.72;1
11444;May;Chevrolet;Urbana;Hombre;Soltero;35;Sedan;Bajo;4;5mas;No;2024;142.73;1
11445;Jul;Chevrolet;Urbana;Mujer;Casado;27;Sedan;Bajo;2;5mas;No;2024;303.88;1
11446;Oct;Chevrolet;Urbana;Hombre;Casado;42;Deportivo;Medio;3;5mas;No;2024;207.83;1
11447;Sep;Honda;Urbana;Hombre;Soltero;29;Deportivo;Bajo;3;5mas;No;2024;205.78;0
11448;Abr;Accura;Urbana;Hombre;Casado;50;Sedan;Medio;4;5mas;No;2024;21.85;0
11449;May;Pontiac;Urbana;Hombre;Casado;29;Deportivo;Medio;2;5mas;No;2024;27.82;1
11450;May;Toyota;Urbana;Hombre;Casado;42;Sedan;Bajo;3;5mas;No;2024;47.77;1
11451;Abr;Honda;Urbana;Hombre;Casado;35;Sedan;Medio;2;5mas;No;2024;355.70;1
11452;Sep;Pontiac;Urbana;Hombre;Casado;77;Deportivo;Bajo;1;5mas;No;2024;96.80;0
11453;Sep;Honda;Urbana;Hombre;Casado;43;Sedan;Bajo;4;5mas;No;2024;236.83;0
11454;Sep;Ford;Urbana;Hombre;Casado;37;Sedan;Bajo;2;5mas;No;2024;96.54;1
11455;Dic;Mazda;Urbana;Hombre;Soltero;32;Deportivo;Medio;3;5mas;No;2024;130.91;0
11456;Feb;Accura;Urbana;Hombre;Casado;50;Sedan;Medio;4;5mas;No;2024;285.32;0
11457;Feb;Accura;Urbana;Hombre;Soltero;33;Sedan;Medio;3;5mas;No;2024;137.47;0
11458;Jul;Pontiac;Urbana;Hombre;Casado;31;Sedan;Medio;3;5mas;No;2024;165.44;1
11459;Ago;Pontiac;Urbana;Hombre;Soltero;38;Sedan;Medio;3;5mas;No;2024;51.14;1
11460;Jul;Pontiac;Rural;Hombre;Casado;41;Sedan;Bajo;2;5mas;No;2024;154.57;1
11461;Abr;Mazda;Urbana;Mujer;Casado;60;Sedan;Medio;3;5mas;No;2024;7.25;0
11462;Abr;Ford;Urbana;Hombre;Casado;29;Sedan;Medio;2;5mas;No;2024;98.00;1
11463;Dic;Toyota;Urbana;Mujer;Soltero;44;Sedan;Bajo;2;5mas;No;2024;70.63;0
11464;Dic;Pontiac;Urbana;Mujer;Casado;51;Deportivo;Bajo;3;5mas;No;2024;361.57;1
11465;May;Pontiac;Urbana;Hombre;Soltero;30;Deportivo;Bajo;1;5mas;No;2024;438.80;0
11466;May;Mazda;Urbana;Hombre;Casado;47;Deportivo;Medio;4;5mas;No;2024;160.97;1
11467;Abr;Chevrolet;Urbana;Hombre;Casado;50;Sedan;Alto;1;5mas;No;2024;19.19;1
11468;Abr;Honda;Urbana;Hombre;Casado;55;Sedan;Alto;1;0y;No;2024;30.18;1
11469;Abr;Mazda;Urbana;Mujer;Soltero;28;Sedan;Medio;2;5mas;No;2024;81.47;0
11470;Abr;Chevrolet;Urbana;Hombre;Casado;61;Deportivo;Bajo;4;5mas;No;2024;62.99;1
11471;May;Toyota;Urbana;Hombre;Soltero;39;Sedan;Bajo;4;5mas;No;2024;274.06;0
11472;May;Saab;Urbana;Hombre;Casado;35;Sedan;Medio;2;5mas;No;2024;150.46;0
11473;Ago;Mazda;Urbana;Hombre;Soltero;28;Sedan;Bajo;4;5mas;No;2024;9.90;1
11474;Jul;Pontiac;Urbana;Hombre;Casado;49;Sedan;Bajo;4;5mas;No;2024;508.34;1
11475;Ago;Toyota;Urbana;Hombre;Casado;57;Sedan;Bajo;4;5mas;No;2024;132.37;1
11476;Sep;Honda;Urbana;Hombre;Casado;23;Deportivo;Medio;3;5mas;No;2024;25.67;0
11477;Nov;Honda;Urbana;Mujer;Soltero;18;Sedan;Medio;2;2y;No;2024;81.55;1
11478;Abr;Chevrolet;Urbana;Hombre;Soltero;42;Sedan;Alto;2;5mas;No;2024;42.17;0
11479;Jun;Pontiac;Rural;Hombre;Casado;33;Sedan;Bajo;1;5mas;No;2024;424.50;0
11480;Mar;Honda;Urbana;Hombre;Casado;29;Sedan;Medio;2;5mas;No;2024;220.22;0
11481;May;Pontiac;Rural;Hombre;Soltero;28;Sedan;Bajo;3;5mas;No;2024;303.20;0
11482;Jun;Pontiac;Urbana;Hombre;Casado;26;Deportivo;Medio;1;5mas;No;2024;27.56;1
11483;Dic;Mazda;Urbana;Hombre;Casado;31;Deportivo;Medio;1;5mas;No;2024;12.09;1
11484;Dic;Toyota;Urbana;Hombre;Soltero;30;Sedan;Bajo;4;5mas;No;2024;31.76;1
11485;Dic;Toyota;Urbana;Hombre;Casado;27;Sedan;Medio;2;5mas;No;2024;27.53;0
11486;Abr;Honda;Urbana;Mujer;Casado;38;Sedan;Bajo;4;5mas;No;2024;146.25;1
11487;Oct;Toyota;Urbana;Mujer;Casado;37;Sedan;Bajo;1;5mas;No;2024;148.73;1
11488;Oct;VW;Urbana;Hombre;Casado;47;Deportivo;Alto;2;5mas;No;2024;246.71;1
11489;Ago;Chevrolet;Urbana;Hombre;Casado;46;Sedan;Medio;3;5mas;No;2024;46.21;0
11490;Abr;Pontiac;Urbana;Hombre;Casado;26;Sedan;Bajo;1;5mas;No;2024;76.99;1
11491;Dic;Pontiac;Urbana;Hombre;Soltero;27;Deportivo;Bajo;3;5mas;No;2024;108.21;1
11492;Dic;Toyota;Urbana;Hombre;Casado;53;Sedan;Bajo;1;5mas;No;2024;96.31;1
11493;Sep;Ford;Urbana;Mujer;Soltero;28;Sedan;Medio;1;5mas;No;2024;133.56;1
11494;Ago;Pontiac;Urbana;Hombre;Casado;37;Sedan;Bajo;3;5mas;No;2024;17.93;0
11495;Abr;Toyota;Urbana;Hombre;Casado;33;Sedan;Bajo;1;5mas;No;2024;136.15;0
11496;Jul;Pontiac;Urbana;Hombre;Casado;40;Sedan;Bajo;2;5mas;No;2024;141.67;1
11497;May;Pontiac;Urbana;Mujer;Casado;34;Deportivo;Bajo;3;5mas;No;2024;70.16;0
11498;Oct;Pontiac;Urbana;Hombre;Soltero;22;Sedan;Bajo;4;5mas;No;2024;75.38;1
11499;Oct;Pontiac;Urbana;Mujer;Soltero;43;Sedan;Bajo;1;5mas;No;2024;245.99;1
11500;Sep;Honda;Urbana;Hombre;Casado;47;Sedan;Bajo;4;5mas;No;2024;43.31;1
11501;Abr;Toyota;Urbana;Hombre;Casado;37;Sedan;Medio;3;5mas;No;2024;469.10;1
11502;Abr;Chevrolet;Rural;Hombre;Casado;36;Deportivo;Bajo;1;5mas;No;2024;261.51;0
11503;Feb;Toyota;Urbana;Hombre;Soltero;33;Deportivo;Bajo;1;5mas;No;2024;114.88;0
11504;Sep;Honda;Urbana;Hombre;Soltero;25;Sedan;Bajo;3;5mas;No;2024;320.28;0
11505;Jul;Pontiac;Urbana;Hombre;Soltero;43;Deportivo;Medio;1;5mas;No;2024;156.99;1
11506;Jul;Chevrolet;Urbana;Hombre;Casado;30;Sedan;Alto;3;5mas;No;2024;71.12;0
11507;Mar;Honda;Urbana;Hombre;Casado;55;Sedan;Bajo;3;5mas;No;2024;88.71;1
11508;May;Toyota;Urbana;Hombre;Casado;37;Deportivo;Bajo;2;5mas;No;2024;191.66;0
11509;Jun;Pontiac;Urbana;Mujer;Casado;30;Sedan;Bajo;2;5mas;No;2024;132.48;1
11510;Jul;Toyota;Urbana;Hombre;Casado;54;Sedan;Alto;2;5mas;No;2024;7.54;1
11511;Ago;Toyota;Urbana;Hombre;Casado;32;Sedan;Bajo;2;5mas;No;2024;12.40;1
11512;Sep;Pontiac;Rural;Hombre;Casado;47;Sedan;Bajo;3;5mas;No;2024;22.74;1
11513;Abr;Mazda;Urbana;Hombre;Casado;43;Sedan;Bajo;2;5mas;No;2024;238.51;1
11514;Sep;Chevrolet;Urbana;Hombre;Casado;48;Deportivo;Bajo;3;5mas;No;2024;114.62;1
11515;Nov;Pontiac;Urbana;Hombre;Casado;29;Deportivo;Bajo;4;5mas;No;2024;132.68;1
11516;Dic;Pontiac;Urbana;Hombre;Soltero;31;Sedan;Medio;1;5mas;No;2024;238.98;1
11517;Dic;Toyota;Urbana;Mujer;Soltero;20;Sedan;Bajo;1;3y;No;2024;163.66;1
11518;May;VW;Urbana;Mujer;Casado;31;Deportivo;Bajo;3;5mas;No;2024;134.36;1
11519;May;Honda;Urbana;Hombre;Casado;40;Deportivo;Medio;1;5mas;No;2024;29.02;0
11520;Ago;Pontiac;Rural;Hombre;Casado;38;Sedan;Bajo;3;5mas;No;2024;177.25;1
11521;Ago;Pontiac;Urbana;Hombre;Soltero;28;Sedan;Bajo;3;5mas;No;2024;51.21;0
11522;Sep;Pontiac;Urbana;Hombre;Casado;55;Deportivo;Medio;3;5mas;No;2024;99.35;1
11523;Abr;Ford;Urbana;Hombre;Casado;50;Sedan;Medio;4;5mas;No;2024;60.84;0
11524;Sep;Toyota;Urbana;Hombre;Casado;65;Sedan;Bajo;3;5mas;No;2024;61.27;0
11525;Dic;Accura;Urbana;Mujer;Soltero;35;Deportivo;Alto;1;5mas;No;2024;327.10;0
11526;Dic;Toyota;Urbana;Hombre;Soltero;26;Sedan;Bajo;4;5mas;No;2024;119.78;1
11527;Dic;Toyota;Urbana;Hombre;Casado;42;Sedan;Bajo;2;5mas;No;2024;213.69;1
11528;Dic;Mazda;Urbana;Hombre;Casado;39;Deportivo;Bajo;1;5mas;No;2024;56.94;0
11529;Sep;Honda;Urbana;Hombre;Casado;54;Deportivo;Medio;2;5mas;No;2024;50.65;1
11530;Sep;Pontiac;Urbana;Hombre;Casado;35;Sedan;Bajo;3;5mas;No;2024;260.24;1
11531;Abr;Pontiac;Urbana;Hombre;Casado;54;Sedan;Medio;4;5mas;No;2024;303.55;1
11532;Sep;Honda;Urbana;Mujer;Casado;32;Deportivo;Alto;2;2y;No;2024;11.98;1
11533;Sep;Pontiac;Urbana;Hombre;Casado;74;Sedan;Bajo;3;5mas;No;2024;19.46;1
11534;Jun;Mazda;Urbana;Mujer;Soltero;28;Sedan;Bajo;4;5mas;No;2024;45.21;1
11535;Jun;Honda;Urbana;Hombre;Casado;35;Deportivo;Bajo;3;5mas;No;2024;161.57;1
11536;May;Honda;Urbana;Hombre;Soltero;33;Sedan;Medio;1;5mas;No;2024;75.75;1
11537;May;Mazda;Urbana;Hombre;Otro;41;Sedan;Bajo;2;5mas;No;2024;354.43;0
11538;May;Toyota;Urbana;Hombre;Casado;40;Sedan;Bajo;1;5mas;No;2024;376.24;1
11539;May;Chevrolet;Urbana;Hombre;Casado;28;Carga;Alto;2;5mas;No;2024;104.05;1
11540;Abr;Toyota;Rural;Hombre;Casado;56;Sedan;Medio;1;5mas;No;2024;103.27;1
11541;Ene;Toyota;Urbana;Mujer;Casado;33;Sedan;Bajo;3;3y;No;2024;220.27;0
11542;Dic;Toyota;Urbana;Hombre;Casado;36;Sedan;Bajo;1;5mas;No;2024;97.17;1
11543;Dic;Mazda;Urbana;Mujer;Casado;31;Deportivo;Bajo;3;5mas;No;2024;115.67;1
11544;Nov;Mazda;Urbana;Hombre;Soltero;20;Deportivo;Bajo;2;2y;No;2024;562.66;0
11545;Oct;Chevrolet;Urbana;Hombre;Casado;54;Sedan;Medio;1;5mas;No;2024;61.69;1
11546;Oct;Honda;Urbana;Hombre;Soltero;31;Sedan;Bajo;2;5mas;No;2024;72.17;1
11547;Sep;Mazda;Rural;Hombre;Casado;36;Deportivo;Medio;4;5mas;No;2024;224.98;0
11548;Sep;Mazda;Urbana;Hombre;Casado;45;Sedan;Bajo;4;5mas;No;2024;219.49;1
11549;Sep;Toyota;Urbana;Hombre;Soltero;44;Sedan;Bajo;4;5mas;No;2024;209.01;1
11550;Sep;Mercury;Urbana;Hombre;Casado;44;Sedan;Alto;1;5mas;No;2024;313.83;0
11551;Sep;Pontiac;Urbana;Mujer;Casado;79;Deportivo;Bajo;1;5mas;No;2024;356.33;1
11552;Sep;Toyota;Urbana;Hombre;Soltero;40;Sedan;Bajo;3;5mas;No;2024;318.91;1
11553;Sep;Mazda;Urbana;Hombre;Casado;45;Deportivo;Medio;1;5mas;No;2024;87.78;0
11554;Ago;Toyota;Urbana;Hombre;Casado;31;Sedan;Bajo;1;5mas;No;2024;56.65;0
11555;Ago;Saturn;Urbana;Hombre;Casado;39;Sedan;Medio;4;5mas;No;2024;80.06;1
11556;Abr;Mazda;Urbana;Hombre;Casado;72;Sedan;Bajo;3;5mas;No;2024;146.69;1
11557;Jun;Mercury;Urbana;Mujer;Casado;29;Sedan;Alto;2;5mas;No;2024;213.25;1
11558;May;Honda;Urbana;Hombre;Casado;27;Deportivo;Bajo;3;5mas;No;2024;79.87;1
11559;May;Toyota;Urbana;Hombre;Casado;48;Sedan;Bajo;3;5mas;No;2024;299.67;1
11560;May;Pontiac;Urbana;Hombre;Casado;37;Sedan;Medio;4;5mas;No;2024;223.39;1
11561;Abr;Honda;Urbana;Hombre;Soltero;0;Sedan;Alto;1;0y;No;2024;285.63;1
11562;Mar;Ford;Urbana;Hombre;Casado;56;Deportivo;Medio;4;5mas;No;2024;229.33;1
11563;Feb;Honda;Urbana;Hombre;Casado;44;Sedan;Bajo;3;5mas;No;2024;236.78;1
11564;May;Chevrolet;Urbana;Mujer;Soltero;40;Deportivo;Medio;3;5mas;No;2024;249.12;1
11565;May;Mazda;Urbana;Hombre;Casado;33;Sedan;Alto;3;5mas;No;2024;545.05;0
11566;May;Chevrolet;Urbana;Hombre;Casado;77;Deportivo;Medio;2;5mas;No;2024;44.22;0
11567;Sep;Honda;Urbana;Hombre;Casado;36;Deportivo;Alto;2;5mas;No;2024;6.44;1
11568;Jun;Dodge;Urbana;Hombre;Casado;37;Deportivo;Alto;4;5mas;No;2024;217.70;0
11569;Jun;Accura;Urbana;Hombre;Casado;43;Deportivo;Medio;4;5mas;No;2024;107.83;1
11570;Jul;Honda;Urbana;Mujer;Soltero;43;Sedan;Bajo;3;5mas;No;2024;55.19;0
11571;Jul;Pontiac;Urbana;Hombre;Casado;52;Deportivo;Bajo;3;5mas;No;2024;111.40;0
11572;Sep;Honda;Urbana;Hombre;Casado;26;Sedan;Alto;3;0y;No;2024;22.89;1
11573;Nov;Honda;Urbana;Hombre;Casado;34;Deportivo;Medio;4;5mas;No;2024;410.33;0
11574;Nov;Pontiac;Urbana;Hombre;Casado;45;Deportivo;Bajo;1;5mas;No;2024;13.27;1
11575;Oct;Chevrolet;Urbana;Hombre;Casado;28;Sedan;Bajo;2;5mas;No;2024;347.06;1
11576;Dic;Mazda;Rural;Hombre;Soltero;30;Sedan;Bajo;4;5mas;No;2024;119.46;1
11577;Mar;Toyota;Urbana;Hombre;Casado;32;Sedan;Bajo;2;5mas;No;2024;6.98;1
11578;Oct;Honda;Urbana;Hombre;Casado;35;Sedan;Medio;4;5mas;No;2024;76.27;1
11579;Nov;Toyota;Urbana;Hombre;Casado;52;Sedan;Bajo;3;5mas;No;2024;189.53;0
11580;Nov;Toyota;Urbana;Hombre;Casado;29;Deportivo;Bajo;2;5mas;No;2024;284.73;1
11581;Dic;Toyota;Urbana;Mujer;Casado;27;Sedan;Bajo;1;5mas;No;2024;444.55;1
11582;Jun;Mazda;Urbana;Hombre;Casado;42;Deportivo;Bajo;4;5mas;No;2024;77.40;1
11583;Jun;Chevrolet;Urbana;Hombre;Casado;36;Deportivo;Medio;3;5mas;No;2024;123.23;1
11584;Abr;Toyota;Urbana;Hombre;Casado;31;Sedan;Bajo;4;5mas;No;2024;125.45;0
11585;Sep;Honda;Urbana;Hombre;Soltero;22;Sedan;Bajo;3;5mas;No;2024;226.87;0
11586;Dic;VW;Urbana;Hombre;Casado;40;Deportivo;Medio;3;5mas;No;2024;196.39;1
11587;Ene;Mazda;Urbana;Hombre;Soltero;26;Sedan;Bajo;3;5mas;No;2024;342.31;1
11588;Mar;Ford;Urbana;Hombre;Soltero;47;Deportivo;Medio;3;5mas;No;2024;267.52;1
